,Host,Medal,number_of_host
0,Australia,857,1
1,Sweden,941,1
2,Mexico,1057,1
3,Netherlands,734,1
4,Norway,136,1
5,Norway,331,1
6,Russia,597,1
7,South Korea,1582,1
8,Spain,1712,1
9,Sweden,36,1
10,United States,147,1
11,Australia,2004,1
12,United States,184,1
13,United States,436,1
14,United States,478,1
15,United States,486,1
16,United States,1294,1
17,United States,1842,1
18,United States,2952,1
19,West Germany,1215,1
20,Japan,1029,1
21,Japan,440,1
22,Japan,199,1
23,Germany,917,1
24,Austria,372,1
25,Austria,422,1
26,Brazil,2023,1
27,Canada,263,1
28,Canada,520,1
29,Canada,1320,1
30,China,2048,1
31,England,2493,1
32,England,2556,1
33,England,5823,1
34,Finland,897,1
35,France,130,1
36,France,199,1
37,France,318,1
38,France,1208,1
39,France,1664,1
40,Germany,108,1
41,Yugoslavia,222,1
